ASCII SAMPLE CYCLES :			calibr_(s220403).mdc
DATE :	19.04.2022	TIME :	23:53:53
CONVERTED CYCLES :			281
Number of stored cycles			281
Printed start cycle			1
Printed end cycle			281
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	2.00	min:	4.93403E-011	max:	3.90936E-009	
'0/1'	3.00	min:	3.8493E-013	max:	7.57667E-010	
'0/2'	4.00	min:	1.36603E-013	max:	3.13492E-008	
'0/3'	7.00	min:	6.09305E-015	max:	6.99791E-013	
'0/4'	12.00	min:	1.26217E-012	max:	2.60351E-012	
'0/5'	13.00	min:	2.8301E-013	max:	5.81946E-013	
'0/6'	14.00	min:	6.57476E-013	max:	6.36045E-011	
'0/7'	15.00	min:	7.78961E-013	max:	1.20075E-012	
'0/8'	16.00	min:	2.46701E-012	max:	1.28902E-011	
'0/9'	17.00	min:	7.75558E-012	max:	1.53153E-011	
'0/10'	18.00	min:	2.56484E-011	max:	4.727E-011	
'0/11'	19.00	min:	4.186E-013	max:	1.99927E-012	
'0/12'	20.00	min:	2.73752E-013	max:	1.29175E-012	
'0/13'	28.00	min:	6.34817E-012	max:	1.25034E-010	
'0/14'	30.00	min:	3.42615E-013	max:	6.33816E-013	
'0/15'	32.00	min:	4.50905E-013	max:	2.33461E-011	
'0/16'	36.00	min:	2.0748E-013	max:	4.27245E-013	
'0/17'	40.00	min:	3.0576E-013	max:	1.7927E-011	
'0/18'	44.00	min:	2.13714E-012	max:	1.29347E-011	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	'0/4'	'0/5'	'0/6'	'0/7'	'0/8'	'0/9'	'0/10'	'0/11'	'0/12'	'0/13'	'0/14'	'0/15'	'0/16'	'0/17'	'0/18'	
1	19.04.2022	23:53:53:00	0	6.3964E-011	5.369E-013	1.47804E-013	8.78151E-014	1.49559E-012	3.3124E-013	8.14451E-013	8.92256E-013	3.05533E-012	7.9798E-012	2.64628E-011	5.19156E-013	3.50786E-013	7.12849E-012	4.6774E-013	5.96961E-013	3.4671E-013	3.3761E-013	2.66676E-012	
2	19.04.2022	23:53:55:09	2.094	6.46874E-011	5.48276E-013	1.50328E-013	1.63345E-013	1.66485E-012	4.46355E-013	8.54036E-013	8.81791E-013	2.91974E-012	8.27782E-012	2.6704E-011	4.37255E-013	3.49915E-013	7.0698E-012	4.3589E-013	5.67841E-013	2.58895E-013	3.8948E-013	2.5885E-012	
3	19.04.2022	23:53:57:18	4.187	6.33543E-011	5.58286E-013	1.51759E-013	1.22296E-013	1.42779E-012	3.81745E-013	9.55956E-013	9.02721E-013	2.74775E-012	8.31286E-012	2.63437E-011	6.15161E-013	3.46255E-013	7.58941E-012	4.1587E-013	4.86851E-013	2.98935E-013	3.49895E-013	2.80144E-012	
4	19.04.2022	23:53:59:28	6.281	6.39685E-011	5.61471E-013	1.54473E-013	1.27519E-013	1.37274E-012	3.4034E-013	7.59851E-013	9.65056E-013	2.8392E-012	8.16953E-012	2.6613E-011	4.186E-013	3.89025E-013	7.51979E-012	4.41805E-013	5.18245E-013	2.70725E-013	4.18145E-013	2.50478E-012	
5	19.04.2022	23:54:01:35	8.359	6.32724E-011	5.91046E-013	1.50881E-013	9.37301E-014	1.54427E-012	3.6036E-013	8.04896E-013	9.99181E-013	2.65902E-012	8.58904E-012	2.61125E-011	4.73655E-013	3.2396E-013	7.14078E-012	4.28155E-013	6.29721E-013	2.84375E-013	4.06315E-013	2.68405E-012	
6	19.04.2022	23:54:03:45	10.453	6.2558E-011	5.96961E-013	1.46803E-013	7.91701E-014	1.43735E-012	5.14606E-013	7.72136E-013	9.80071E-013	2.63036E-012	8.34926E-012	2.62217E-011	4.67285E-013	3.10765E-013	7.79234E-012	4.5773E-013	5.71481E-013	3.3124E-013	4.03585E-013	2.70589E-012	
7	19.04.2022	23:54:05:53	12.531	6.37365E-011	5.28711E-013	1.44941E-013	6.59751E-014	1.45873E-012	4.0495E-013	8.37201E-013	9.89626E-013	2.9939E-012	8.4219E-012	2.62808E-011	4.98226E-013	4.4954E-013	7.5025E-012	4.51815E-013	5.71026E-013	3.32605E-013	4.7138E-013	2.44017E-012	
8	19.04.2022	23:54:07:60	14.609	6.39503E-011	4.7684E-013	1.47153E-013	6.09305E-015	1.38457E-012	3.1486E-013	8.13541E-013	9.68241E-013	2.87697E-012	8.27236E-012	2.63718E-011	4.6683E-013	4.23605E-013	7.63809E-012	4.30885E-013	4.93676E-013	3.367E-013	4.0131E-013	2.72818E-012	
9	19.04.2022	23:54:09:68	16.687	6.15479E-011	4.7957E-013	1.4512E-013	1.03582E-013	1.32678E-012	3.2032E-013	7.04618E-013	9.04541E-013	2.80553E-012	8.50024E-012	2.60852E-011	5.278E-013	4.0222E-013	7.7068E-012	4.52725E-013	5.42816E-013	3.33515E-013	3.9585E-013	2.59077E-012	
10	19.04.2022	23:54:11:78	18.781	6.2649E-011	5.2871E-013	1.41765E-013	9.82801E-014	1.40959E-012	3.58184E-013	8.38111E-013	1.04286E-012	3.09628E-012	8.21503E-012	2.65311E-011	4.7502E-013	3.3579E-013	7.48976E-012	4.6683E-013	5.44181E-013	3.185E-013	4.29065E-013	2.65038E-012	
